max_keys,hop_by_hop_connectivity_pct,hop_by_hop_selected_pairs,hop_by_hop_selected_routes,hop_by_hop_selected_keys,end_to_end_connectivity_pct,end_to_end_selected_pairs,end_to_end_selected_routes,end_to_end_selected_keys,edge_by_edge_connectivity_pct,edge_by_edge_selected_pairs,edge_by_edge_selected_routes,edge_by_edge_selected_keys,edge_to_edge_connectivity_pct,edge_to_edge_selected_pairs,edge_to_edge_selected_routes,edge_to_edge_selected_keys
0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0
1,1.1111,1,1,1,1.1111,1,3,1,4.4444,4,4,1,4.4444,4,4,1
2,3.3333,3,3,2,2.2222,2,6,2,12.2222,11,11,2,11.1111,10,12,2
3,6.6667,6,6,3,3.3333,3,9,3,22.2222,20,22,3,22.2222,20,22,3
4,12.2222,11,11,4,4.4444,4,12,4,38.8889,35,41,4,33.3333,30,34,4
5,16.6667,15,15,5,5.5556,5,15,5,55.5556,50,64,5,46.6667,42,52,5
6,28.8889,26,26,6,6.6667,6,18,6,58.8889,53,87,6,51.1111,46,70,6
7,35.5556,32,32,7,7.7778,7,21,7,56.6667,51,111,7,55.5556,50,88,7
8,35.5556,32,39,8,8.8889,8,24,8,60.0,54,146,8,60.0,54,114,8
9,43.3333,39,49,9,10.0,9,27,9,71.1111,64,169,9,70.0,63,133,9
10,50.0,45,61,10,11.1111,10,30,10,80.0,72,192,10,70.0,63,153,10
11,62.2222,56,73,11,12.2222,11,33,11,90.0,81,211,11,80.0,72,172,11
12,62.2222,56,82,12,13.3333,12,36,12,100.0,90,230,12,80.0,72,192,12
13,60.0,54,88,13,14.4444,13,39,13,100.0,90,230,12,90.0,81,211,13
14,63.3333,57,100,14,15.5556,14,42,14,100.0,90,230,12,100.0,90,230,14
15,70.0,63,110,15,16.6667,15,45,15,100.0,90,230,12,100.0,90,230,14
16,70.0,63,122,16,17.7778,16,48,16,100.0,90,230,12,100.0,90,230,14
17,66.6667,60,135,17,18.8889,17,51,17,100.0,90,230,12,100.0,90,230,14
18,66.6667,60,148,18,20.0,18,54,18,100.0,90,230,12,100.0,90,230,14
19,73.3333,66,164,19,21.1111,19,57,19,100.0,90,230,12,100.0,90,230,14
20,81.1111,73,181,20,22.2222,20,60,20,100.0,90,230,12,100.0,90,230,14
21,90.0,81,199,21,23.3333,21,63,21,100.0,90,230,12,100.0,90,230,14
22,100.0,90,218,22,24.4444,22,66,22,100.0,90,230,12,100.0,90,230,14
23,100.0,90,222,23,25.5556,23,69,23,100.0,90,230,12,100.0,90,230,14
24,100.0,90,226,24,26.6667,24,72,24,100.0,90,230,12,100.0,90,230,14
25,100.0,90,228,25,27.7778,25,75,25,100.0,90,230,12,100.0,90,230,14
26,100.0,90,230,26,28.8889,26,78,26,100.0,90,230,12,100.0,90,230,14
27,100.0,90,230,26,30.0,27,81,27,100.0,90,230,12,100.0,90,230,14
28,100.0,90,230,26,31.1111,28,84,28,100.0,90,230,12,100.0,90,230,14
29,100.0,90,230,26,32.2222,29,87,29,100.0,90,230,12,100.0,90,230,14
30,100.0,90,230,26,33.3333,30,90,30,100.0,90,230,12,100.0,90,230,14
31,100.0,90,230,26,34.4444,31,93,31,100.0,90,230,12,100.0,90,230,14
32,100.0,90,230,26,35.5556,32,96,32,100.0,90,230,12,100.0,90,230,14
33,100.0,90,230,26,36.6667,33,99,33,100.0,90,230,12,100.0,90,230,14
34,100.0,90,230,26,37.7778,34,102,34,100.0,90,230,12,100.0,90,230,14
35,100.0,90,230,26,38.8889,35,105,35,100.0,90,230,12,100.0,90,230,14
36,100.0,90,230,26,40.0,36,108,36,100.0,90,230,12,100.0,90,230,14
37,100.0,90,230,26,41.1111,37,111,37,100.0,90,230,12,100.0,90,230,14
38,100.0,90,230,26,42.2222,38,114,38,100.0,90,230,12,100.0,90,230,14
39,100.0,90,230,26,43.3333,39,117,39,100.0,90,230,12,100.0,90,230,14
40,100.0,90,230,26,44.4444,40,120,40,100.0,90,230,12,100.0,90,230,14
41,100.0,90,230,26,45.5556,41,123,41,100.0,90,230,12,100.0,90,230,14
42,100.0,90,230,26,46.6667,42,126,42,100.0,90,230,12,100.0,90,230,14
43,100.0,90,230,26,47.7778,43,129,43,100.0,90,230,12,100.0,90,230,14
44,100.0,90,230,26,48.8889,44,132,44,100.0,90,230,12,100.0,90,230,14
45,100.0,90,230,26,50.0,45,135,45,100.0,90,230,12,100.0,90,230,14
46,100.0,90,230,26,51.1111,46,138,46,100.0,90,230,12,100.0,90,230,14
47,100.0,90,230,26,52.2222,47,141,47,100.0,90,230,12,100.0,90,230,14
48,100.0,90,230,26,53.3333,48,144,48,100.0,90,230,12,100.0,90,230,14
49,100.0,90,230,26,54.4444,49,147,49,100.0,90,230,12,100.0,90,230,14
50,100.0,90,230,26,55.5556,50,150,50,100.0,90,230,12,100.0,90,230,14
51,100.0,90,230,26,56.6667,51,153,51,100.0,90,230,12,100.0,90,230,14
52,100.0,90,230,26,57.7778,52,156,52,100.0,90,230,12,100.0,90,230,14
53,100.0,90,230,26,58.8889,53,159,53,100.0,90,230,12,100.0,90,230,14
54,100.0,90,230,26,60.0,54,162,54,100.0,90,230,12,100.0,90,230,14
55,100.0,90,230,26,61.1111,55,165,55,100.0,90,230,12,100.0,90,230,14
56,100.0,90,230,26,62.2222,56,168,56,100.0,90,230,12,100.0,90,230,14
57,100.0,90,230,26,63.3333,57,171,57,100.0,90,230,12,100.0,90,230,14
58,100.0,90,230,26,64.4444,58,174,58,100.0,90,230,12,100.0,90,230,14
59,100.0,90,230,26,65.5556,59,177,59,100.0,90,230,12,100.0,90,230,14
60,100.0,90,230,26,66.6667,60,180,60,100.0,90,230,12,100.0,90,230,14
61,100.0,90,230,26,67.7778,61,183,61,100.0,90,230,12,100.0,90,230,14
62,100.0,90,230,26,68.8889,62,186,62,100.0,90,230,12,100.0,90,230,14
63,100.0,90,230,26,70.0,63,189,63,100.0,90,230,12,100.0,90,230,14
64,100.0,90,230,26,71.1111,64,192,64,100.0,90,230,12,100.0,90,230,14
65,100.0,90,230,26,72.2222,65,195,65,100.0,90,230,12,100.0,90,230,14
66,100.0,90,230,26,73.3333,66,198,66,100.0,90,230,12,100.0,90,230,14
67,100.0,90,230,26,74.4444,67,201,67,100.0,90,230,12,100.0,90,230,14
68,100.0,90,230,26,75.5556,68,204,68,100.0,90,230,12,100.0,90,230,14
69,100.0,90,230,26,76.6667,69,207,69,100.0,90,230,12,100.0,90,230,14
70,100.0,90,230,26,77.7778,70,210,70,100.0,90,230,12,100.0,90,230,14
71,100.0,90,230,26,78.8889,71,211,71,100.0,90,230,12,100.0,90,230,14
72,100.0,90,230,26,80.0,72,212,72,100.0,90,230,12,100.0,90,230,14
73,100.0,90,230,26,81.1111,73,213,73,100.0,90,230,12,100.0,90,230,14
74,100.0,90,230,26,82.2222,74,214,74,100.0,90,230,12,100.0,90,230,14
75,100.0,90,230,26,83.3333,75,215,75,100.0,90,230,12,100.0,90,230,14
76,100.0,90,230,26,84.4444,76,216,76,100.0,90,230,12,100.0,90,230,14
77,100.0,90,230,26,85.5556,77,217,77,100.0,90,230,12,100.0,90,230,14
78,100.0,90,230,26,86.6667,78,218,78,100.0,90,230,12,100.0,90,230,14
79,100.0,90,230,26,87.7778,79,219,79,100.0,90,230,12,100.0,90,230,14
80,100.0,90,230,26,88.8889,80,220,80,100.0,90,230,12,100.0,90,230,14
81,100.0,90,230,26,90.0,81,221,81,100.0,90,230,12,100.0,90,230,14
82,100.0,90,230,26,91.1111,82,222,82,100.0,90,230,12,100.0,90,230,14
83,100.0,90,230,26,92.2222,83,223,83,100.0,90,230,12,100.0,90,230,14
84,100.0,90,230,26,93.3333,84,224,84,100.0,90,230,12,100.0,90,230,14
85,100.0,90,230,26,94.4444,85,225,85,100.0,90,230,12,100.0,90,230,14
86,100.0,90,230,26,95.5556,86,226,86,100.0,90,230,12,100.0,90,230,14
87,100.0,90,230,26,96.6667,87,227,87,100.0,90,230,12,100.0,90,230,14
88,100.0,90,230,26,97.7778,88,228,88,100.0,90,230,12,100.0,90,230,14
89,100.0,90,230,26,98.8889,89,229,89,100.0,90,230,12,100.0,90,230,14
90,100.0,90,230,26,100.0,90,230,90,100.0,90,230,12,100.0,90,230,14
