target_connectivity_pct,hop_by_hop_required_pairs,hop_by_hop_selected_pairs,hop_by_hop_selected_routes,hop_by_hop_selected_keys,hop_by_hop_achieved_connectivity_pct,end_to_end_required_pairs,end_to_end_selected_pairs,end_to_end_selected_routes,end_to_end_selected_keys,end_to_end_achieved_connectivity_pct,edge_by_edge_required_pairs,edge_by_edge_selected_pairs,edge_by_edge_selected_routes,edge_by_edge_selected_keys,edge_by_edge_achieved_connectivity_pct,edge_to_edge_required_pairs,edge_to_edge_selected_pairs,edge_to_edge_selected_routes,edge_to_edge_selected_keys,edge_to_edge_achieved_connectivity_pct
0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
5,5,6,6,3,6.6667,5,5,5,5,5.5556,5,5,5,2,5.5556,5,5,5,2,5.5556
10,9,9,9,4,10.0,9,9,9,9,10.0,9,9,9,2,10.0,9,9,9,2,10.0
15,14,15,15,5,16.6667,14,14,14,14,15.5556,14,20,20,3,22.2222,14,14,14,3,15.5556
20,18,18,18,6,20.0,18,18,18,18,20.0,18,20,20,3,22.2222,18,19,19,3,21.1111
25,23,26,26,6,28.8889,23,23,23,23,25.5556,23,27,27,4,30.0,23,24,24,4,26.6667
30,27,27,27,7,30.0,27,27,27,27,30.0,27,28,28,4,31.1111,27,28,28,4,31.1111
35,32,32,32,7,35.5556,32,32,32,32,35.5556,32,33,33,4,36.6667,32,35,35,5,38.8889
40,36,36,36,8,40.0,36,36,36,36,40.0,36,50,50,5,55.5556,36,36,36,5,40.0
45,41,41,41,9,45.5556,41,41,41,41,45.5556,41,50,50,5,55.5556,41,42,42,5,46.6667
50,45,45,45,9,50.0,45,45,45,45,50.0,45,50,50,5,55.5556,45,47,47,6,52.2222
55,50,50,50,10,55.5556,50,50,50,50,55.5556,50,50,50,5,55.5556,50,51,51,6,56.6667
60,54,56,56,10,62.2222,54,54,54,54,60.0,54,61,61,6,67.7778,54,54,54,7,60.0
65,59,59,59,11,65.5556,59,59,59,59,65.5556,59,61,61,6,67.7778,59,59,59,7,65.5556
70,63,66,66,12,73.3333,63,63,63,63,70.0,63,70,70,7,77.7778,63,63,63,8,70.0
75,68,68,68,13,75.5556,68,68,68,68,75.5556,68,70,70,7,77.7778,68,68,68,8,75.5556
80,72,72,72,13,80.0,72,72,72,72,80.0,72,79,79,8,87.7778,72,72,72,9,80.0
85,77,77,77,14,85.5556,77,77,77,77,85.5556,77,79,79,8,87.7778,77,78,78,9,86.6667
90,81,82,82,15,91.1111,81,81,81,81,90.0,81,87,87,9,96.6667,81,82,82,10,91.1111
95,86,87,87,16,96.6667,86,86,86,86,95.5556,86,87,87,9,96.6667,86,87,87,11,96.6667
100,90,90,90,17,100.0,90,90,230,90,100.0,90,90,146,11,100.0,90,90,154,12,100.0
